"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
334|"Same Time"|"A man and woman meet by chance at a romantic inn over dinner. Although both are married to others, they find themselves in the same bed the next morning questioning how this could have ..."|"Comedy, Drama, Romance"|"340.jpg"|"Ellen Burstyn, Alan Alda, Ivan Bonar, Bernie Kuby"|"USA"|"English"|"119 min"|1978
335|"Sex and Lucia"|"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life."|"Drama, Romance"|"341.jpg"|"Paz Vega, Tristán Ulloa, Najwa Nimri, Daniel Freire"|"Spain, France"|"Spanish, English"|"128 min"|2001
336|"Safe"|"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."|"Action, Crime, Mystery"|"342.jpg"|"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson"|"USA, South Africa, Japan"|"English, Afrikaans, Spanish"|"115 min"|2012
337|"The Man from Laramie"|"A stranger defies the local cattle baron and his sadistic son by working for one of his oldest rivals."|"Drama, Western"|"343.jpg"|"James Stewart, Arthur Kennedy, Donald Crisp, Cathy O'Donnell"|"USA"|"English"|"104 min"|1955
338|"Fantasia"|"A collection of animated interpretations of great works of Western classical music."|"Animation, Family, Fantasy"|"344.jpg"|"Leopold Stokowski, Deems Taylor"|"USA"|"English"|"125 min"|1940
339|"Kissed"|"A journalist enrolls in her old highschool as part of her research for a story."|"Comedy, Drama, Romance"|"345.jpg"|"Drew Barrymore, David Arquette, Michael Vartan, Molly Shannon"|"USA"|"English"|"107 min"|1999
340|"Say Anything"|"A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college."|"Comedy, Drama, Romance"|"346.jpg"|"John Cusack, Ione Skye, John Mahoney, Lili Taylor"|"USA"|"English"|"100 min"|1989
341|"Drugstore Cowboy"|"A pharmacy-robbing dope fiend and his crew pop pills and evade the law."|"Crime, Drama"|"347.jpg"|"Matt Dillon, Kelly Lynch, James Le Gros, Heather Graham"|"USA"|"English"|"102 min"|1989
342|"Radio Days"|"A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium."|"Comedy"|"348.jpg"|"Mike Starr, Paul Herman, Don Pardo, Martin Rosenblatt"|"USA"|"English"|"88 min"|1987
343|"The Terminator"|"A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."|"Action, Sci-Fi"|"349.jpg"|"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield"|"UK, USA"|"English, Spanish"|"107 min"|1984
344|"Wayne's World 2"|"The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend."|"Comedy, Music"|"350.jpg"|"Mike Myers, Dana Carvey, Christopher Walken, Tia Carrere"|"USA"|"Cantonese, English"|"95 min"|1993
345|"Star Wars: Episode IV: A New Hope"|"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader."|"Action, Adventure, Fantasy"|"351.jpg"|"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing"|"USA"|"English"|"121 min"|1977
346|"Lost in Space"|"The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home."|"Action, Adventure, Family"|"352.jpg"|"William Hurt, Mimi Rogers, Heather Graham, Lacey Chabert"|"USA"|"English"|"130 min"|1998
347|"Crouching Tiger"|"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life."|"Action, Drama, Romance"|"353.jpg"|"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"|"Taiwan, Hong Kong, USA, China"|"Mandarin"|"120 min"|2000
348|"The Shop Around the Corner"|"Two employees at a gift shop can barely stand one another, without realizing that they're falling in love through the post as each other's anonymous pen pal."|"Comedy, Drama, Romance"|"354.jpg"|"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut"|"USA"|"English"|"99 min"|1940
349|"Planet of the Apes"|"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising."|"Action, Drama, Sci-Fi"|"355.jpg"|"Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings"|"USA"|"English, Sign Languages"|"105 min"|2011
350|"Kindergarten Cop"|"A tough cop is given his most difficult assignment ever: to masquerade as a kindergarten teacher in order to find a drug dealer."|"Action, Comedy, Crime"|"356.jpg"|"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt"|"USA"|"English, Spanish"|"111 min"|1990
351|"Big Momma's House"|"To protect a beautiful woman (Nia Long) and her son (Jascha Washington) from a robber (Terrence Howard), a male FBI agent (Martin Lawrence) disguises as a large grandmother."|"Action, Comedy, Crime"|"357.jpg"|"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington"|"USA, Germany"|"English"|"99 min"|2000
352|"Beethoven"|"A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen."|"Comedy, Drama, Family"|"358.jpg"|"Charles Grodin, Bonnie Hunt, Dean Jones, Nicholle Tom"|"USA"|"English"|"87 min"|1992
353|"Will Penny"|"Aging cowboy Will Penny gets a line camp job on a large cattle spread and finds his isolated cabin is already occupied by a husbandless woman and her young son."|"Romance, Western"|"359.jpg"|"Charlton Heston, Joan Hackett, Donald Pleasence, Lee Majors"|"USA"|"English"|"108 min"|1967
354|"Good Morning"|"An unorthodox and irreverent DJ begins to shake up things when he is assigned to the US Armed Services Radio station in Vietnam."|"Biography, Comedy, Drama"|"360.jpg"|"Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana"|"USA"|"English"|"121 min"|1987
355|"The Birdcage"|"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents."|"Comedy"|"361.jpg"|"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest"|"USA"|"English"|"117 min"|1996
356|"Dangerous Beauty"|"A Venetian courtesan becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft."|"Biography, Drama, Romance"|"362.jpg"|"Catherine McCormack, Rufus Sewell, Oliver Platt, Fred Ward"|"USA"|"English"|"111 min"|1998
357|"Meet Joe Black"|"Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth and in the process he falls in love with his guide's daughter."|"Drama, Fantasy, Romance"|"363.jpg"|"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber"|"USA"|"English, Dutch"|"178 min"|1998
358|"An Affair of Love"|"They recount their impressions to the Interviewer. They met through a magazine ad, She and He. They corresponded through the Internet. He responded to her ad seeking someone to fulfil her ..."|"Drama, Romance"|"364.jpg"|"Nathalie Baye, Sergi López, Jacques Viala, Paul Pavel"|"France, Switzerland, Belgium, Luxembourg"|"French"|"80 min"|1999
359|"Murder By Numbers"|"Two gifted high school students execute a \perfect\ murder - then become engaged in an intellectual contest with a seasoned homicide detective."|"Crime, Mystery, Thriller"|"365.jpg"|"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt"|"USA"|"English"|"115 min"|2002
360|"West Side Story"|"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."|"Crime, Drama, Musical"|"366.jpg"|"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno"|"USA"|"English, Spanish"|"152 min"|1961
361|"American Gigolo"|"A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit."|"Crime, Drama, Mystery"|"367.jpg"|"Richard Gere, Lauren Hutton, Hector Elizondo, Nina van Pallandt"|"USA"|"English, German, Swedish, French"|"117 min"|1980
362|"K-Pax"|"PROT is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations."|"Drama, Mystery, Sci-Fi"|"368.jpg"|"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard"|"USA, Germany"|"English"|"120 min"|2001
363|"Unforgiven"|"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man."|"Drama, Western"|"369.jpg"|"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"|"USA"|"English"|"131 min"|1992
364|"Baraka"|"A collection of expertly photographed scenes of human life and religion."|"Documentary"|"370.jpg"|"N/A"|"USA"|"None"|"96 min"|1992
365|"Highlander"|"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled \Prize\."|"Action, Adventure, Fantasy"|"371.jpg"|"Christopher Lambert, Roxanne Hart, Clancy Brown, Sean Connery"|"UK"|"English"|"116 min"|1986
366|"American Splendor"|"An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar."|"Biography, Comedy, Drama"|"372.jpg"|"Chris Ambrose, Joey Krajcar, Josh Hutcherson, Cameron Carter"|"USA"|"English"|"101 min"|2003
367|"Stardust Memories"|"While attending a retrospective of his work, a filmmaker recalls his life and his loves: the inspirations for his films."|"Comedy, Drama"|"373.jpg"|"Woody Allen, Charlotte Rampling, Jessica Harper, Marie-Christine Barrault"|"USA"|"English, Persian, French"|"89 min"|1980
368|"Mona Lisa"|"A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles."|"Drama"|"374.jpg"|"Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal"|"USA"|"English, Italian"|"117 min"|2003
369|"Maverick"|"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."|"Action, Adventure, Comedy"|"375.jpg"|"Mel Gibson, Jodie Foster, James Garner, Graham Greene"|"USA"|"English"|"127 min"|1994
370|"Take the Money and Run"|"The life and times of Virgil Starkwell, inept bank robber."|"Comedy, Crime"|"376.jpg"|"Woody Allen, Janet Margolin, Marcel Hillaire, Jacquelyn Hyde"|"USA"|"English"|"85 min"|1969
371|"Kagemusha"|"A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place."|"Drama, History, War"|"377.jpg"|"Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"|"Japan, USA"|"Japanese"|"162 min"|1980
